number,ticker,primary_exchange_code,fundamental_period,earning_value,earning_yoy,earning_plan_to_target,eps_value,eps_accumulated,pe_ratio,fundamental_audit_style,fundamental_status,updated_date,unit,currency
259,TVT,HOSE,2020Q2,37.73,-28.7,na,"1,796.00","3,340.00",5.8,not audited,consolidated,6/8/2020,billion,dong
260,DPR,HOSE,2020Q2,46.92,-45.9,35,"1,168.00","3,571.00",10.7,reviewed,C?g ty m?,6/8/2020,billion,dong
261,CSV,HOSE,2020Q2,98.87,-12.9,51,"2,237.00","5,190.00",4.1,not audited,consolidated,6/8/2020,billion,dong
262,TCD,HOSE,2020Q2,26.25,-5.1,26,641,"1,779.00",5,not audited,consolidated,6/8/2020,billion,dong
263,EID,HNX,2020Q2,27.43,-14.8,78,"1,829.00","2,696.00",4.1,not audited,consolidated,6/8/2020,billion,dong
264,HTI,HOSE,2020Q2,29.74,-15.1,54,"1,192.00","2,589.00",4.5,reviewed,separated,6/8/2020,billion,dong
265,VE8,HNX,2020Q2,-1.03,na,-37,-575,160,56.3,not audited,separated,6/8/2020,billion,dong
266,CVT,HOSE,2020Q2,42.08,-25.1,na,"1,147.00","4,161.00",4.7,not audited,separated,6/8/2020,billion,dong
267,PSE,HNX,2020Q2,4.25,26,52,340,791,9.1,not audited,separated,6/8/2020,billion,dong
268,VTH,HNX,2020Q2,0.81,-89,96,163,-688,-13.7,not audited,separated,6/8/2020,billion,dong
269,SD2,HNX,2020Q2,-1.26,-475.3,na,-87,"-1,884.00",-3.2,not audited,consolidated,6/8/2020,billion,dong
270,VXB,HNX,2020Q2,-6.67,na,"-2,249.00","-1,647.00","-3,854.00",-1.1,not audited,separated,6/8/2020,billion,dong
271,TJC,HNX,2020Q2,0.01,100.1,na,1,"-2,400.00",-2.8,not audited,separated,6/8/2020,billion,dong
272,ROS,HOSE,2020Q2,-150.37,-318.9,na,-265,-72,-30.3,not audited,consolidated,6/8/2020,billion,dong
273,HDC,HOSE,2020Q2,79.7,110.1,40,"1,368.00","3,169.00",5,not audited,consolidated,6/8/2020,billion,dong
274,NVT,HOSE,2020Q2,2.66,-68.7,266,29,230,18.3,not audited,consolidated,6/8/2020,billion,dong
275,TMB,HNX,2020Q2,56.35,603.9,na,"4,051.00","8,370.00",1.7,not audited,consolidated,6/8/2020,billion,dong
276,BII,HNX,2020Q2,-3.5,na,-17,-61,-253,-2.4,not audited,C?g ty m?,6/8/2020,billion,dong
277,PTC,HOSE,2020Q2,8.79,-62.1,na,542,"2,824.00",3.3,not audited,consolidated,6/8/2020,billion,dong
278,PDB,HNX,2020Q2,0.62,-85.4,3,70,"2,001.00",3.2,not audited,consolidated,6/8/2020,billion,dong
279,PPY,HNX,2020Q2,-3.25,-134.7,-32,-394,701,33.8,reviewed,separated,6/8/2020,billion,dong
280,DCL,HOSE,2020Q2,25.59,747.7,31,450,"2,077.00",9.5,not audited,consolidated,6/8/2020,billion,dong
281,HRC,HOSE,2020Q2,2.33,32.3,na,77,275,170.9,reviewed,separated,6/8/2020,billion,dong
282,PGI,HOSE,2020Q2,109.09,33.5,na,"1,230.00","2,273.00",8,not audited,separated,6/8/2020,billion,dong
283,TCL,HOSE,2020Q2,42.13,-5.5,41,"1,671.00","3,845.00",6.5,not audited,consolidated,6/8/2020,billion,dong
284,TGG,HOSE,2020Q2,-3.88,-336.4,na,-142,-176,-5.5,not audited,separated,6/8/2020,billion,dong
285,DTA,HOSE,2020Q2,-3.04,-522.1,-211,-173,137,22.6,not audited,separated,6/8/2020,billion,dong
286,VIT,HNX,2020Q2,24.01,-27.2,36,"1,231.00","3,139.00",3.9,not audited,separated,6/8/2020,billion,dong
287,CDC,HOSE,2020Q2,19.31,24.8,64,"1,229.00","2,353.00",11.5,not audited,consolidated,6/8/2020,billion,dong
288,MBB,HOSE,2020Q2,"3,974.83",5.2,na,"1,729.00","3,505.00",4.7,not audited,consolidated,6/8/2020,billion,dong
289,DTD,HNX,2020Q2,72.88,-10.6,73,"2,995.00","3,151.00",5.8,not audited,consolidated,6/8/2020,billion,dong
