number,ticker,primary_exchange_code,fundamental_period,earning_value,earning_yoy,earning_plan_to_target,eps_value,eps_accumulated,pe_ratio,fundamental_audit_style,fundamental_status,updated_date,unit,currency
635,GMX,HNX,2020Q2,12.38,14.5,55,"2,329.00","4,921.00",4.9,not audited,separated,6/8/2020,billion,dong
636,PEN,HNX,2020Q2,-6.54,-343.1,-109,"-1,308.00","-1,218.00",-4.3,not audited,separated,6/8/2020,billion,dong
637,TIP,HOSE,2020Q2,49,3.4,70,"1,884.00","3,716.00",5.2,not audited,consolidated,6/8/2020,billion,dong
638,BCE,HOSE,2020Q2,6.44,22.7,19,215,"1,233.00",6.5,not audited,separated,6/8/2020,billion,dong
639,LM8,HOSE,2020Q2,1.95,-76.8,na,208,596,19.5,not audited,separated,6/8/2020,billion,dong
640,VSA,HNX,2020Q2,13.92,-14.6,na,988,"2,441.00",5.7,not audited,separated,6/8/2020,billion,dong
641,AGR,HOSE,2020Q2,42.52,30.2,64,201,370,9.3,not audited,separated,6/8/2020,billion,dong
642,CAV,HOSE,2020Q2,194.66,-19.4,52,"3,383.00","7,764.00",8.4,not audited,consolidated,6/8/2020,billion,dong
643,MCO,HNX,2020Q2,0.05,33.4,17,13,26,88.5,not audited,separated,6/8/2020,billion,dong
644,VC7,HNX,2020Q2,5.41,4.5,19,238,543,8.5,not audited,separated,6/8/2020,billion,dong
645,HTP,HNX,2020Q2,0.29,-31.5,18,178,227,44.1,not audited,separated,6/8/2020,billion,dong
646,SFN,HNX,2020Q2,6.86,232.8,na,"2,396.00","3,711.00",6.5,not audited,separated,6/8/2020,billion,dong
647,TTC,HNX,2020Q2,9.31,-3.6,90,"1,567.00","2,478.00",4.6,not audited,separated,6/8/2020,billion,dong
648,SVT,HOSE,2020Q2,3.11,-40.5,58,295,787,22.7,not audited,separated,6/8/2020,billion,dong
649,NNC,HOSE,2020Q2,59.12,0.9,65,"2,697.00","5,623.00",8.2,not audited,separated,6/8/2020,billion,dong
650,SMN,HNX,2020Q2,2.8,-58.5,34,637,"1,280.00",6.6,not audited,separated,6/8/2020,billion,dong
651,KHS,HNX,2020Q2,8.75,-36.9,29,729,"1,765.00",6.4,not audited,consolidated,6/8/2020,billion,dong
652,VE2,HNX,2020Q2,0.5,2.3,na,237,112,58,not audited,separated,6/8/2020,billion,dong
653,D2D,HOSE,2020Q2,150.2,80.2,84,"7,162.00","21,894.00",2.5,not audited,separated,6/8/2020,billion,dong
654,UIC,HOSE,2020Q2,28.55,-0.7,59,"3,569.00","7,417.00",4.9,not audited,separated,6/8/2020,billion,dong
655,BMC,HOSE,2020Q2,6.31,-21.7,na,509,"1,156.00",8.5,not audited,separated,6/8/2020,billion,dong
656,CLC,HOSE,2020Q2,55.41,-7.1,46,"2,114.00","5,200.00",4.9,not audited,separated,6/8/2020,billion,dong
657,AAV,HNX,2020Q2,6.67,-53.6,33,209,679,7.5,not audited,consolidated,6/8/2020,billion,dong
658,KST,HNX,2020Q2,3.9,-16.1,na,"1,302.00","3,014.00",6.3,not audited,separated,6/8/2020,billion,dong
659,WCS,HNX,2020Q2,24.53,-27.1,37,"9,813.00","23,784.00",8,not audited,separated,6/8/2020,billion,dong
660,NBP,HNX,2020Q2,22.72,130.6,114,"1,766.00","1,922.00",6.7,not audited,separated,6/8/2020,billion,dong
661,CAG,HNX,2020Q2,2.72,-27.5,65,197,225,380.9,not audited,separated,6/8/2020,billion,dong
662,PVB,HNX,2020Q2,86.59,366.8,178,"4,009.00","7,271.00",2.2,not audited,separated,6/8/2020,billion,dong
663,TV3,HNX,2020Q2,6.94,272.1,36,838,"2,670.00",10.8,not audited,separated,6/8/2020,billion,dong
664,V21,HNX,2020Q2,-4.5,-346.9,na,-375,-494,-8.3,not audited,separated,6/8/2020,billion,dong
665,PGD,HOSE,2020Q2,46.32,-59.9,23,515,"1,829.00",15,not audited,separated,6/8/2020,billion,dong
666,CMC,HNX,2020Q2,-2.07,na,-92,-453,-102,-39.2,not audited,separated,6/8/2020,billion,dong
667,DHA,HOSE,2020Q2,42.7,23.5,71,"2,899.00","5,162.00",6.6,not audited,separated,6/8/2020,billion,dong
668,CNG,HOSE,2020Q2,14.25,-66,18,528,"2,083.00",9.5,not audited,separated,6/8/2020,billion,dong
669,SZL,HOSE,2020Q2,48.89,2.3,56,"2,684.00","5,712.00",7.6,not audited,separated,6/8/2020,billion,dong
670,NET,HNX,2020Q2,74.06,112.4,na,"3,306.00","5,372.00",10.4,not audited,separated,6/8/2020,billion,dong
671,TXM,HNX,2020Q2,-1.81,na,na,-258,-59,-49.2,not audited,separated,6/8/2020,billion,dong
672,EBA,HNX,2020Q2,5.83,na,57,376,503,18.1,not audited,separated,6/8/2020,billion,dong
673,BRC,HOSE,2020Q2,10.7,0.4,57,864,"1,596.00",6.3,not audited,separated,6/8/2020,billion,dong
674,AAM,HOSE,2020Q2,0.07,-99,2,7,144,72.9,not audited,separated,6/8/2020,billion,dong
675,PMC,HNX,2020Q2,36.87,4.5,61,"3,950.00","8,143.00",7.5,not audited,separated,6/8/2020,billion,dong
676,SZB,HNX,2020Q2,55.91,13.6,57,"1,864.00","3,443.00",8.3,not audited,separated,6/8/2020,billion,dong
677,CCI,HOSE,2020Q2,15.39,17.1,50,877,"1,816.00",7.9,not audited,separated,6/8/2020,billion,dong
678,CDN,HNX,2020Q2,113.23,26.8,63,"1,144.00","2,112.00",8.9,not audited,separated,6/8/2020,billion,dong
679,DGC,HOSE,2020Q2,444.23,58.9,na,"3,452.00","5,680.00",6.6,not audited,consolidated,6/8/2020,billion,dong
680,PDN,HOSE,2020Q2,68,5.1,47,"3,761.00","7,735.00",9.2,not audited,separated,6/8/2020,billion,dong
681,DRC,HOSE,2020Q2,80.68,-8.3,38,679,"2,046.00",7.8,not audited,separated,6/8/2020,billion,dong
682,HKB,HNX,2020Q2,-33.74,na,na,-654,-105,-5.7,not audited,consolidated,6/8/2020,billion,dong
683,SED,HNX,2020Q2,13.46,-58.6,na,"1,366.00","1,935.00",7.4,not audited,separated,6/8/2020,billion,dong
684,TNC,HOSE,2020Q2,49.46,33.3,na,"2,570.00","2,619.00",7.3,not audited,separated,6/8/2020,billion,dong
685,VTB,HOSE,2020Q2,5.95,-27.6,na,550,985,9.7,not audited,consolidated,6/8/2020,billion,dong
686,SMC,HOSE,2020Q2,52.83,-25.3,44,874,"1,313.00",7.6,not audited,consolidated,6/8/2020,billion,dong
687,BTP,HOSE,2020Q2,73.18,44.4,69,"1,210.00","3,774.00",3.9,not audited,separated,6/8/2020,billion,dong
688,NTH,HNX,2020Q2,15.4,-53,83,"1,426.00","1,897.00",15.6,not audited,separated,6/8/2020,billion,dong
689,HPM,HNX,2020Q2,-1.94,na,-54,-511,"-1,136.00",-11.4,not audited,separated,6/8/2020,billion,dong
690,INC,HNX,2020Q2,1.09,106.3,52,546,"1,257.00",7.3,not audited,separated,6/8/2020,billion,dong
691,LBE,HNX,2020Q2,0.21,-69.1,na,188,987,38.2,not audited,separated,6/8/2020,billion,dong
692,PPC,HOSE,2020Q2,415,-28.9,72,"1,294.00","3,426.00",6.9,not audited,separated,6/8/2020,billion,dong
693,TPH,HNX,2020Q2,0.79,-29,na,415,661,12.7,not audited,separated,6/8/2020,billion,dong
694,UNI,HNX,2020Q2,0.76,483.1,na,50,63,71.4,not audited,separated,6/8/2020,billion,dong
695,BST,HNX,2020Q2,0.15,-69.7,12,134,929,13.2,not audited,separated,6/8/2020,billion,dong
696,SJ1,HNX,2020Q2,8.2,36.2,33,392,"1,291.00",16.6,reviewed,consolidated,6/8/2020,billion,dong
697,FIR,HOSE,2020Q2,24.25,-53,20,"1,523.00","4,141.00",7.1,reviewed,consolidated,6/8/2020,billion,dong
698,HSG,HOSE,2020Q2,382.97,229.1,96,900,"1,474.00",7.3,reviewed,consolidated,6/8/2020,billion,dong
699,TIX,HOSE,2020Q2,44.75,-28.2,55,"1,492.00","3,020.00",9.9,reviewed,separated,6/8/2020,billion,dong
700,MHL,HNX,2020Q2,-4.94,na,-99,-935,-178,-25.8,reviewed,separated,6/8/2020,billion,dong
701,SFC,HOSE,2020Q2,13.66,-33.6,na,"1,216.00",na,na,reviewed,separated,6/8/2020,billion,dong
702,CAP,HNX,2020Q2,12.49,64.8,na,"2,460.00",na,na,reviewed,separated,6/8/2020,billion,dong
703,IDV,HNX,2020Q2,94.16,79.4,62,"5,637.00","9,162.00",5,reviewed,consolidated,6/8/2020,billion,dong
704,KTS,HNX,2020Q2,0.49,-71.3,8,97,653,13.8,reviewed,separated,6/8/2020,billion,dong
705,SLS,HNX,2020Q2,35.43,-2.5,139,"3,618.00","6,348.00",9.6,reviewed,separated,6/8/2020,billion,dong
